date,PC1,PC2,PC3
2010-02-28,0.005519014668856666,-0.193412932795292,-0.7406723934346466
2010-03-31,-2.13548304518352,0.7947677773110198,1.2962437786473506
2010-04-30,1.5031840252435362,0.9620462240174997,0.01590367596353643
2010-05-31,-0.837900108889907,-1.9833932697897567,-0.3682268606658551
2010-06-30,1.9108085184116406,0.6076207974620885,-0.03965543228288623
2010-07-31,-1.4503225869228715,-0.7985894275253436,-0.1844659151310534
2010-08-31,0.22436420301580445,-1.2686572775890141,-0.1824114019621318
2010-09-30,-1.2860664992830537,1.4668569138832694,0.8672747518293815
2010-10-31,-0.44517235710000624,-0.9630973115947372,0.036497249831108164
2010-11-30,1.4023256251566196,0.39854102670793135,-0.8492263644101746
2010-12-31,0.2901244759407406,0.9737266999350402,0.3116197329164886
2011-01-31,0.40444500078604884,-0.03519849639348257,-0.1638770028630769
2011-02-28,-1.0455937314047818,0.9056328530880017,-0.7526899702972114
2011-03-31,1.6227685959338196,-0.16511737282006547,0.7613218267753515
2011-04-30,-0.2198795050023092,-0.4340821537776385,0.44867520259771615
2011-05-31,0.7474731263619201,0.04499864959410529,-0.18002233473916132
2011-06-30,-0.39696156285108986,-1.0552384855717565,0.036459250541263526
2011-07-31,-0.7222053036061196,0.6778180307175351,1.5030801975807253
2011-08-31,-1.5488322643185666,-1.3038275003264348,-0.7625612168573536
2011-09-30,1.9401654487119553,1.0211634125714248,-1.5712686496374586
2011-10-31,-0.3069888919631081,-0.37261922867089836,-0.08507810556936064
2011-11-30,-0.3841251025364119,0.8289655689015719,1.2969793269585155
2011-12-31,-0.3262083239977976,-0.8509219128182021,0.6242650730143446
2012-01-31,0.35127475615321146,0.819861898868011,-1.5874340777482443
2012-02-29,1.1289217144225534,0.6267410062304389,0.31506573777327923
2012-03-31,0.19180108557387637,-1.1222461407199456,-1.0306251341136021
2012-04-30,-0.28749812836985406,0.17114504099258693,0.9180487706171001
2012-05-31,-1.0807394713096565,0.5256577143583965,-0.26337577240103643
2012-06-30,0.08520378780465414,0.11825259893196018,0.35449747720958685
2012-07-31,1.716649421700223,0.09820332814494295,-0.6019823314229634
2012-08-31,-0.7066057402642275,0.7073793215212045,-0.10298612027124503
2012-09-30,-0.36071579800428466,0.21235885320992848,0.6839478429388729
2012-10-31,1.9974992362304487,-0.7805055277303136,-0.987129381783776
2012-11-30,-0.8568319885606122,0.2637112944885081,-0.8191303233391568
2012-12-31,0.7270778361516191,-0.2128448519238446,0.7577093853789952
2013-01-31,-2.6974072840305054,0.6039178581588649,-0.21136771418472747
2013-02-28,1.23427477624109,-0.00026718901063035313,-0.30574846987556326
2013-03-31,0.5836261666232585,-0.7345987146375933,1.2131675365613497
2013-04-30,-0.21671479685909953,0.5769946906084729,-0.36096865666927197
2013-05-31,1.431302439286983,-1.389357998880993,0.04187588295414169
2013-06-30,-0.39996488842220673,1.1924605382401032,0.005229597304423786
2013-07-31,-0.5442091082478407,-0.057141121695469275,-0.2387755230835326
2013-08-31,0.4784233738410116,0.004903957825446858,0.4088635192740107
2013-09-30,-1.0813490707040123,0.5678458519272189,-0.7290097424577336
2013-10-31,-1.7283875859096423,0.4534255164195157,0.5430318157650902
2013-11-30,2.81836004825995,-0.9551788902649984,0.12755166620269853
2013-12-31,-1.3662092400878434,-1.187295903908411,-0.6847244676697042
2014-01-31,0.4845010275715978,2.3099212742870314,0.802877771764522
2014-02-28,-0.250893922332409,-1.0620241301302342,-3.479551451499279
2014-03-31,1.734924776575872,-0.5095668776381372,1.3385904975242853
2014-04-30,0.1556956145140371,1.9842783499799739,0.1346199672527267
2014-05-31,-1.4702918438357473,0.08835119803946358,0.5707654194453868
2014-06-30,1.3381579062608966,-2.7002514316956585,0.2357395644411879
2014-07-31,-0.842391866951095,0.14159921931638772,0.8868300761712634
2014-08-31,0.29101307774312113,1.0489461630945145,0.41330027683770293
2014-09-30,-1.492018422448285,-0.9976379136529826,0.17455770429635642
2014-10-31,1.5631880162668197,2.6311143929163427,-0.8892753224136455
2014-11-30,-0.9865317925627026,-1.7236154677481779,-0.1096336472024537
2014-12-31,0.3616805728174952,-0.4000106990410078,1.3050415593946236
2015-01-31,-0.24285208217630064,0.9064560943339368,-0.6577008056635704
2015-02-28,-0.162402103878813,-1.4191984725420177,0.01648854778862032
2015-03-31,-0.1263150830814767,0.5325956235422747,-2.2257647126029454
2015-04-30,0.6109540313235102,-0.3428439180797964,1.158265614557395
2015-05-31,-0.08111077586724662,0.32004606086635795,0.4550798540447732
2015-06-30,-0.6271704199489272,0.393371218161587,-1.2688968215105898
2015-07-31,0.021980673276752866,0.4378013403219898,0.44706954996384
2015-08-31,-0.17073269865078414,-0.6125177657481952,0.39725398350236635
2015-09-30,1.34331856797557,-0.0210629117439483,1.6687752369804603
2015-10-31,-0.7478872176566813,0.6683861524118104,-1.5693113028964631
2015-11-30,-0.1422904725471003,-1.608700766895529,1.1326258281217698
2015-12-31,-0.925745855078596,0.1731575519737474,0.2983566759372625
